Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,23789,5591,18322,6384,3476,2557,948,3701,64776
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,667898,571861,398575,211506,144919,38199,43799,12983,2089954
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,Young people fully engaged in employment; education or training,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,4879,4359,2964,1457,1152,395,202,201,15604
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,38572,8551,33101,12386,6030,4096,1287,9259,113305
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,821950,701466,523913,270192,187669,51612,50896,15982,2623965
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,6504,5683,4197,1907,1587,562,243,257,20942
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Trajectory,Aboriginal and Torres Strait Islander people,,15-24 years old,,,Derived from ABS (unpublished) Census of Population and Housing,%,..,..,..,..,..,..,..,..,57.2
CtG7A.1,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Linear regression estimates,Aboriginal and Torres Strait Islander people,,15-24 years old,,,ABS (unpublished) Census of Population and Housing,%,61.7,65.4,55.4,51.5,57.6,62.4,73.7,40,57.2
CtG7A.1,2016 to 2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Estimated annual change,Aboriginal and Torres Strait Islander people,,15-24 years old,,,ABS (unpublished) Census of Population and Housing,%/year,0.06,0.02,0.53,0.31,-0.42,0.18,0.14,-1.03,0.17
CtG7A.1,2016 to 2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Assessment of progress,Aboriginal and Torres Strait Islander people,,15-24 years old,,,ABS (unpublished) Census of Population and Housing,Level,1,1,1,1,-1,1,1,-1,2
