Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,20 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.1,77.7,72,74.7,72.7,62.2,84.5,74.2,75.2
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,21 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,75,76.5,70.9,74,72,63.7,83.6,76.6,74.3
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,22 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,72,73.5,69.5,72.4,70.2,64.2,82,77,71.9
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,23 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,70.2,71.7,69.2,71.8,68.9,64.2,80.7,76.9,70.6
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,68.9,71.1,69.2,71.9,68.8,63.8,80.2,76.9,70.1
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,5840,1257,5032,1861,885,643,185,1094,16807
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,5570,1150,4953,1719,813,618,151,1094,16062
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,5266,1151,4433,1532,735,540,159,1082,14902
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4843,1135,4169,1451,749,496,185,1096,14126
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4740,1131,3944,1387,711,478,184,1098,13684
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4619,1131,3945,1360,687,509,164,1168,13585
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4418,1082,3772,1311,702,487,178,1023,12972
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4329,1100,3547,1331,669,457,177,969,12584
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4125,1105,3587,1264,675,424,186,884,12245
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3972,1017,3489,1225,630,423,178,836,11782
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,84664,70184,57536,29137,18545,5477,4742,1552,271877
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,82094,67550,55249,27865,18058,5289,4424,1491,262054
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,79748,67132,53762,27423,18171,5048,4401,1458,257176
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,77330,65897,50259,26061,17541,4809,5149,1369,248431
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,75334,65838,50798,25653,17727,4704,5416,1289,246764
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,79658,70006,52612,26738,18608,4892,5688,1386,259617
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,83518,73387,52938,27324,19494,4976,6057,1463,269180
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,83315,73285,52785,27549,19642,5225,6199,1655,269678
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,84084,74580,53496,27372,19799,5258,6394,1914,272932
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,86842,78408,54034,27946,20321,5607,6518,2068,281782
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,444,298,330,154,123,53,6,13,1434
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,386,302,295,127,109,57,8,13,1300
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,378,303,262,119,101,42,20,15,1244
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,349,233,230,89,84,28,11,18,1046
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,319,242,178,103,66,32,6,13,953
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,312,212,198,83,97,26,15,5,947
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,254,222,177,64,64,33,8,13,836
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,277,207,154,82,69,30,10,11,840
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,233,196,150,74,59,27,9,10,761
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,216,210,162,56,61,26,12,12,756
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,15 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,95.4,94.7,92.6,92.1,93.2,95.4,91.1,86.6,93.2
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,16 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,89.4,90.5,85.6,81.6,88.2,88.5,95.6,70.2,85.9
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,17 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,76.5,82.5,69.3,67.6,78.5,78.7,81.6,50.3,72.2
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,18 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,52.8,65.9,41.3,37.2,52,61.6,67.4,28.8,47.6
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,19 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,46,51.4,39.7,34.5,42.2,40.9,67.2,24.5,41.6
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,20 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47,51.5,38.7,34.4,39.8,50.6,63.7,20.8,41.3
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,21 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47,51,38.8,36.1,39.5,44.9,63.5,23.7,41.7
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,22 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47.5,53.7,40.8,34.9,39.2,47.6,68.3,26.1,42.6
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,23 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47.6,51.1,39.6,34.4,41.2,41,73.8,24.5,41.7
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47.7,47.2,41.3,34.4,38.5,46.7,70.6,25.2,42
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,15 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,98.8,98.4,98,98.6,98.4,98.2,99.3,99.4,98.5
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,16 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,96.9,97.4,95.2,96.2,97,95.9,98.1,97.8,96.6
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,17 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,92.1,94.1,85.7,92,92.6,89.6,94.5,90.8,91.4
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,18 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,79.4,83.4,66.3,70.2,73.2,75.1,82.7,71.1,76.4
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,19 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,75.5,76.6,68.6,71.7,69.5,59.8,81.3,70.9,73.4
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,20 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,77.1,77.8,70.3,72.5,71.7,63.9,83.8,76.1,75
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,21 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,75.5,76,70.2,72.1,70.1,63.4,84.8,76.5,73.8
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,22 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,73.8,73.7,69,70.6,68.6,64.1,82,78.2,72.2
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,23 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,73.6,72.7,69.1,70.2,67.5,63.3,81.4,77.7,71.7
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,72.8,71.6,68.9,69.7,66.7,62.4,81.5,76.7,71
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4654,959,4145,1511,660,501,112,1130,13677
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4359,955,3993,1498,753,506,135,1060,13262
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4427,912,3643,1444,712,464,136,931,12665
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,4072,946,3346,1235,611,453,141,896,11698
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3859,836,3199,1097,592,391,131,812,10929
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3617,809,3105,1183,585,401,135,936,10773
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3667,853,3048,1131,555,399,137,892,10690
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3431,769,2978,1158,520,361,123,878,10219
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3332,755,2905,1105,520,354,130,887,10000
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,,Aboriginal and Torres Strait Islander people,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,3158,756,2736,1027,514,272,102,829,9395
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,78188,62584,52210,26559,17692,5302,4002,1493,248069
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,79730,64137,51925,26689,18178,5390,4049,1492,251626
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,79078,65031,50718,26988,18501,5562,4292,1412,251619
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,78724,66690,49960,25942,18189,5139,4825,1387,250872
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,80732,70091,50698,26391,18696,5081,5413,1331,258455
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,82512,72488,52099,26886,19133,5050,5481,1383,265061
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,83608,74330,54147,27385,19812,5152,5597,1633,271678
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,84038,74520,53636,27251,19051,5042,5780,1750,271101
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,86730,75603,54097,27875,19291,4968,5786,1916,276294
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,,Non-Indigenous people,,24 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,88609,75992,54424,28235,19125,4939,5668,2180,279194
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,15 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,879,682,590,270,217,70,23,44,2777
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,16 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,816,680,591,252,210,82,24,32,2694
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,17 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,804,635,465,252,222,72,29,29,2509
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,18 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,657,607,429,194,161,70,28,22,2158
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,19 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,634,514,373,173,135,70,28,18,1940
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,20 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,591,516,382,161,137,49,28,28,1896
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,21 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,575,516,374,177,153,50,20,17,1885
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,22 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,555,494,336,143,113,49,17,21,1729
CtG7A.3,2016,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,,23 years old,Number of people,Excludes people for whom labour force status was not stated; unknown; or inadequately described,ABS (unpublished) Census of Population and Housing,no.,503,533,334,148,134,27,18,26,1728
